MatchID|Team1ID|Team1|score_t1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1|HAteam01|Team2ID|Team2|score_t2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|HAteam02
345752|361|newcastle_united|0|5.52941176471|5.80968182622|5.0|home|371|west_ham_united|1|1.59477124183|4.69798720424|0.0|away
345753|360|manchester_united|2|14.1699346405|17.531965521|7.0|home|359|arsenal|1|4.71241830065|7.44537686323|1.0|away
345754|366|sunderland|0|4.03267973856|5.5311574988|1.0|home|362|aston_villa|1|2.73202614379|5.4208584516|0.0|away
345755|318|swansea_city|1|2.0522875817|3.87009795298|0.0|home|363|chelsea|1|6.92156862745|12.9132497248|0.0|away
345756|370|fulham|2|4.6339869281|9.63907599644|0.0|home|368|everton|2|12.2745098039|15.6778163471|4.0|away
345757|371|west_ham_united|0|1.09803921569|4.82878718705|0.0|home|382|manchester_city|0|8.39869281046|9.40959034433|6.0|away
345758|364|liverpool|1|4.2614379085|9.51694137293|0.0|home|361|newcastle_united|1|8.71895424837|7.68536298005|7.0|away
345759|381|norwich_city|1|2.55555555556|4.1835171257|0.0|home|336|stoke_city|0|7.90196078431|11.5903750388|3.0|away
345760|367|tottenham_hotspur|0|4.14379084967|9.52905313257|0.0|home|350|wigan_athletic|1|7.24836601307|9.36289509285|4.0|away
345761|368|everton|2|13.6274509804|16.9543340336|6.0|home|364|liverpool|2|6.00653594771|12.8187448184|0.0|away
345762|363|chelsea|2|7.28104575163|11.9281385979|0.0|home|360|manchester_united|3|20.0522875817|18.9446358316|14.0|away
345763|362|aston_villa|1|2.58169934641|4.85154025685|0.0|home|381|norwich_city|1|3.65359477124|4.51912459196|0.0|away
345764|359|arsenal|1|4.35294117647|6.97659072519|0.0|home|334|queens_park_rangers|0|2.06535947712|5.52791277446|0.0|away
345765|336|stoke_city|0|8.13071895425|11.3700057257|1.0|home|366|sunderland|0|4.03267973856|5.5311574988|1.0|away
345766|382|manchester_city|1|10.660130719|10.1538256409|10.0|home|318|swansea_city|0|2.22875816993|4.21248802023|0.0|away
345767|361|newcastle_united|2|8.71895424837|7.68536298005|7.0|home|383|west_bromwich_albion|1|5.20261437908|6.80384308657|2.0|away
345768|350|wigan_athletic|2|8.24183006536|9.49304949991|5.0|home|371|west_ham_united|1|1.55555555556|4.67770248181|0.0|away
345769|381|norwich_city|1|3.98039215686|4.84460563594|0.0|home|359|arsenal|0|2.60784313725|4.63185234353|0.0|away
345770|370|fulham|1|3.7385620915|9.76707236113|0.0|home|362|aston_villa|0|2.95424836601|5.26592185014|0.0|away
345771|367|tottenham_hotspur|2|3.60784313725|8.80822201619|0.0|home|363|chelsea|4|9.70588235294|14.8019087062|4.0|away
345772|334|queens_park_rangers|1|1.94117647059|5.42113425909|0.0|home|368|everton|1|10.9673202614|15.4333559059|2.0|away
345773|383|west_bromwich_albion|1|5.21568627451|6.79671313918|2.0|home|382|manchester_city|2|14.477124183|10.8628316145|13.0|away
345774|366|sunderland|1|4.04575163399|5.29562634841|1.0|home|361|newcastle_united|1|9.32026143791|7.60516989172|8.0|away
345775|360|manchester_united|4|18.7058823529|20.0326146988|14.0|home|336|stoke_city|2|8.13071895425|11.3700057257|1.0|away
345776|318|swansea_city|2|3.00653594771|4.78627767826|0.0|home|350|wigan_athletic|1|7.2614379085|9.53615153863|3.0|away
345777|371|west_ham_united|1|2.29411764706|6.53285547766|0.0|home|359|arsenal|3|4.17647058824|6.44647914955|1.0|away
345778|367|tottenham_hotspur|2|4.24183006536|9.64061814509|0.0|home|362|aston_villa|0|2.95424836601|5.4357084539|0.0|away
345779|350|wigan_athletic|2|7.2614379085|9.53615153863|3.0|home|368|everton|2|12.7581699346|15.3873839095|5.0|away
345780|361|newcastle_united|0|5.47058823529|6.93297399477|4.0|home|360|manchester_united|3|15.3725490196|19.4105565083|9.0|away
345781|363|chelsea|4|11.0653594771|18.3867930731|3.0|home|381|norwich_city|1|3.21568627451|4.52580282333|0.0|away
345782|383|west_bromwich_albion|3|5.35947712418|6.82614579344|2.0|home|334|queens_park_rangers|2|2.55555555556|5.74500509268|0.0|away
345783|364|liverpool|0|4.84967320261|12.7031318468|0.0|home|336|stoke_city|0|7.81045751634|11.7349551208|2.0|away
345784|382|manchester_city|3|14.2222222222|10.216110705|14.0|home|366|sunderland|0|3.58823529412|4.86756560562|1.0|away
345785|359|arsenal|1|4.01307189542|5.79833977602|0.0|home|363|chelsea|2|11.0653594771|18.3867930731|3.0|away
345786|381|norwich_city|2|3.67320261438|4.6859964731|0.0|home|364|liverpool|5|5.07189542484|12.8424869698|0.0|away
345787|370|fulham|1|4.88235294118|10.0325881923|0.0|home|382|manchester_city|2|12.4640522876|10.56942572|12.0|away
345788|336|stoke_city|2|7.40522875817|11.8621923204|0.0|home|318|swansea_city|0|3.00653594771|4.78627767826|0.0|away
345789|360|manchester_united|2|16.385620915|20.1634251756|9.0|home|367|tottenham_hotspur|3|3.56209150327|9.27138409008|0.0|away
345790|362|aston_villa|1|2.95424836601|5.4357084539|0.0|home|383|west_bromwich_albion|1|4.66013071895|7.06752066491|0.0|away
345791|334|queens_park_rangers|1|1.62745098039|4.51270154141|0.0|home|371|west_ham_united|2|1.85620915033|5.14040549334|0.0|away
345792|366|sunderland|1|4.1045751634|4.81034207023|3.0|home|350|wigan_athletic|0|7.2614379085|9.53615153863|3.0|away
345793|382|manchester_city|1|9.28758169935|10.5258307871|6.0|home|359|arsenal|1|3.32679738562|5.39647678015|0.0|away
345794|318|swansea_city|0|3.37908496732|4.7691910715|0.0|home|368|everton|3|12.7777777778|15.5055217751|7.0|away
345795|350|wigan_athletic|1|6.0|8.84137628656|2.0|home|370|fulham|2|4.85620915033|10.0400624302|0.0|away
345796|364|liverpool|1|5.88888888889|12.7845676759|0.0|home|360|manchester_united|2|16.1568627451|18.7568262596|9.0|away
345797|361|newcastle_united|1|5.83006535948|7.10775223441|5.0|home|381|norwich_city|0|3.23529411765|4.54428421549|0.0|away
345798|367|tottenham_hotspur|2|3.56209150327|9.27138409008|0.0|home|334|queens_park_rangers|1|1.7908496732|4.65496234587|0.0|away
345799|363|chelsea|1|11.0653594771|18.3867930731|3.0|home|336|stoke_city|0|7.88235294118|11.7662090543|1.0|away
345800|371|west_ham_united|1|2.40522875817|6.53841130041|0.0|home|366|sunderland|1|4.71895424837|4.88890636465|4.0|away
345801|334|queens_park_rangers|0|2.13725490196|5.94424951263|0.0|home|363|chelsea|0|11.6078431373|18.5994009652|4.0|away
