matchid|season|datetime|year
54588|2002-2003|2002-12-14 00:00:00|2002
54589|2002-2003|2002-12-14 00:00:00|2002
54590|2002-2003|2002-12-14 00:00:00|2002
54591|2002-2003|2002-12-14 00:00:00|2002
54592|2002-2003|2002-12-14 00:00:00|2002
54593|2002-2003|2002-12-15 00:00:00|2002
54594|2002-2003|2002-12-16 00:00:00|2002
54595|2002-2003|2002-12-21 00:00:00|2002
54596|2002-2003|2002-12-21 00:00:00|2002
54597|2002-2003|2002-12-21 00:00:00|2002
54598|2002-2003|2002-12-21 00:00:00|2002
54599|2002-2003|2002-12-21 00:00:00|2002
54600|2002-2003|2002-12-23 00:00:00|2002
54601|2002-2003|2002-12-21 00:00:00|2002
